year,table_label,country,broadcaster,channel_s,commentator_s,broadcaster_8,broadcaster_21,show_s,country_territory,ref_s
1965,broadcasts | Broadcasts [1],Netherlands,NRU,Hilversum 2,,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Norway,NRK,"NRK Fjernsynet, NRK",Erik Diesen,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Portugal,RTP,RTP,,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Spain,TVE,"TVE, TVE Canarias",Federico Gallo,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Spain,RNE,RNE,,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Sweden,SR,"Sveriges TV, SR P1",Berndt Friberg,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Switzerland,SRG SSR,TV DRS,,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Switzerland,SRG SSR,TSR,Jean Charles,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TSI, Radio Monte Ceneri",,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Sottens,,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],United Kingdom,BBC,BBC1,David Jacobs,NA,NA,NA,NA,NA
1965,broadcasts | Broadcasts [1],United Kingdom,BFBS,BFBS Radio,Ian Fenner,NA,NA,NA,NA,NA
